id	type	status	noindex	cornerstone	permalink	parent	title	seo_title	meta_desc	focus_kw	links_out	links_in	rt_min	modified	content_len	gutenberg	elementor
201758	faq	publish	0	0	http://cavallo.local/faq/cavallo-comfort-sleeves/	0	Cavallo Comfort Sleeves	NULL	Cavallo Comfort Sleeves are ideal for sensitive, thin-skinned horses. Perfect for riding, rehabilitation, and extended wear.	Cavallo Comfort Sleeves	13	11	8	2026-05-13 23:27:25	38174	1	0
201755	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boot-break-in/	0	Cavallo Hoof Boot Break-In	NULL	Following the proper Cavallo Hoof Boot break-in period ensures your horse stays comfortable and enjoys maximum comfort and protection.	Cavallo Hoof Boot Break-In	13	18	8	2026-05-13 23:17:47	38150	1	0
201757	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boot-pads/	0	Cavallo Hoof Boot Pads	NULL	Available in six styles, Cavallo Hoof boot pads enhance boot fit, improve comfort, and promote healthy circulation for your horse.	Cavallo Hoof Boot Pads	19	19	13	2026-05-13 23:28:41	58719	1	0
201836	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boot-styles/	0	Cavallo Hoof Boot Style	NULL	Not sure which Cavallo Hoof Boot Style to choose? Cavallo has something for every equine. Designed for durability, comfort, and protection,	Cavallo Hoof Boot Style	18	13	18	2026-05-13 23:17:05	64860	1	0
201492	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boot-uses/	0	Cavallo Hoof Boot Uses	NULL	Cavallo Hoof Boot Uses go beyond simple hoof protection—they provide comfort, support, and durability for a variety of equine activities.	Cavallo Hoof Boot Uses	18	32	16	2026-05-13 23:31:55	65576	1	0
201448	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boots-durability-and-lifespan/	0	Cavallo Hoof Boots Durability and Lifespan	NULL	Cavallo Hoof Boots Durability and Lifespan depend on several factors, including terrain, frequency of use, and proper care.	Cavallo Hoof Boots Durability and Lifespan	12	32	8	2026-05-13 23:37:22	35798	1	0
201702	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boots-for-all-terrain/	0	Cavallo Hoof Boots for all Terrain	NULL	Cavallo Hoof Boots for all Terrain provide grip, comfort, and protection on all surfaces. The durable soles absorb shock, preventing pain.	Cavallo Hoof Boots for all Terrain	15	33	8	2026-05-13 23:45:13	37030	1	0
202207	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boots-for-arthritis/	0	Cavallo Hoof Boots for Arthritis	NULL	Cavallo Hoof Boots for arthritis reduce joint strain, improve traction, and keep aging horses comfortable, active, and moving with ease.	Cavallo Hoof Boots for Arthritis	13	3	10	2026-05-13 23:40:02	39797	1	0
201760	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boots-for-jumping/	0	Cavallo Hoof Boots for Jumping	%%title%% %%page%% %%sep%% Cavallo Hoof Boots for Jumping %%sitename%%	Cavallo Hoof Boots are perfect for jumping, offering a secure, close-fitting design and Scientifically Proven Shock Absorption.	Cavallo Hoof Boots for Jumping	13	4	8	2026-05-13 23:42:26	36623	1	0
201754	faq	publish	0	0	http://cavallo.local/faq/cavallo-hoof-boots-for-laminitis/	0	Cavallo Hoof Boots for Laminitis	NULL	Cavallo Hoof Boots provide comfort, support, and protection for horses with Laminitis. Designed for pain relief and proven shock absorption.	Cavallo Hoof Boots for Laminitis	22	4	10	2026-05-13 23:39:17	46811	1	0
