id,type,status,indexable,cornerstone,site_section,title,url_live,content_format,summary,key_components,primary_cta,image_count,word_count,n_sections,has_video,seo_title,meta_description,focus_keyword,h1,org_traffic_est,traffic_value_usd,top_keyword,serp_position,ranking_keywords,links_in,links_out,price,sku,stock,reading_time_min,editor,parent_id,url_local,last_modified,audit_action,notes
201758,faq,publish,Yes,,Support — FAQ,Cavallo Comfort Sleeves,https://cavallo-inc.com/faq/cavallo-comfort-sleeves/,FAQ / informational,"Explains Cavallo Comfort Sleeves, a stretchy one-size pastern layer that prevents friction and rubbing for sensitive or thin-skinned horses during boot use and riding.","Image gallery, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,8,1100,5,,,"Cavallo Comfort Sleeves are ideal for sensitive, thin-skinned horses. Perfect for riding, rehabilitation, and extended wear.",Cavallo Comfort Sleeves,Cavallo Comfort Sleeves for Pastern Protection and Comfort,,,,,,11,13,,,,8,Gutenberg,,http://cavallo.local/faq/cavallo-comfort-sleeves/,2026-05-13 23:27:25,,
201755,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boot Break-In,https://cavallo-inc.com/faq/cavallo-hoof-boot-break-in/,FAQ / informational,"Guides owners through the Cavallo hoof boot break-in period, recommending gradual daily wear, leather conditioning, and care tips for a custom molded fit that prevents rubbing.","Image gallery, Video embed, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,6,1411,6,Yes,,Following the proper Cavallo Hoof Boot break-in period ensures your horse stays comfortable and enjoys maximum comfort and protection.,Cavallo Hoof Boot Break-In,Cavallo Hoof Boot Break-In Period,,,,,,18,13,,,,8,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boot-break-in/,2026-05-13 23:17:47,,
201757,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boot Pads,https://cavallo-inc.com/faq/cavallo-hoof-boot-pads/,FAQ / informational,"Details Cavallo hoof boot pads in six styles (Comfort, Poly, Support, Protection, Cushion, Gel), explaining when to use each for riding, trailering, and rehab of conditions like laminitis.","Image gallery, Video embed, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,12,2160,12,Yes,,"Available in six styles, Cavallo Hoof boot pads enhance boot fit, improve comfort, and promote healthy circulation for your horse.",Cavallo Hoof Boot Pads,Cavallo Hoof Boot Pads for Added Cushioning and Support,,,,,,19,19,,,,13,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boot-pads/,2026-05-13 23:28:41,,
201836,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boot Style,https://cavallo-inc.com/faq/cavallo-hoof-boot-styles/,FAQ / informational,"A guide comparing Cavallo hoof boot styles (TREK, SIMPLE, ELB, SPORT, CLB mini, BFB draft, LEB donkey) to help choose the best fit, plus sizing guidance for every equine.","Image gallery, Table of contents/sections, Bulleted list, Lead form, CTA button, Testimonials",Shop hoof boots,11,2464,11,,,"Not sure which Cavallo Hoof Boot Style to choose? Cavallo has something for every equine. Designed for durability, comfort, and protection,",Cavallo Hoof Boot Style,Which Cavallo Hoof Boot Style is Best for Your Horse?,,,,,,13,18,,,,18,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boot-styles/,2026-05-13 23:17:05,,
201492,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boot Uses,https://cavallo-inc.com/faq/cavallo-hoof-boot-uses/,FAQ / informational,"Informational page on the many uses of Cavallo Hoof Boots, including therapy, rehabilitation, trail riding, transport, performance disciplines, and turnout.","Image gallery, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,13,2841,13,,,"Cavallo Hoof Boot Uses go beyond simple hoof protection—they provide comfort, support, and durability for a variety of equine activities.",Cavallo Hoof Boot Uses,Cavallo Hoof Boot Uses,,,,,,32,18,,,,16,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boot-uses/,2026-05-13 23:31:55,,
201448,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boots Durability and Lifespan,https://cavallo-inc.com/faq/cavallo-hoof-boots-durability-and-lifespan/,FAQ / informational,"Informational page on Cavallo Hoof Boots durability and lifespan, covering factors affecting wear, maintenance tips, the 180-day warranty, and when to replace.","Image gallery, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,6,1456,6,,,"Cavallo Hoof Boots Durability and Lifespan depend on several factors, including terrain, frequency of use, and proper care.",Cavallo Hoof Boots Durability and Lifespan,Cavallo Hoof Boots Durability and Lifespan,0,0.0,cavallo كريم,5,3,32,12,,,,8,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boots-durability-and-lifespan/,2026-05-13 23:37:22,,
201702,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boots for all Terrain,https://cavallo-inc.com/faq/cavallo-hoof-boots-for-all-terrain/,FAQ / informational,"Describes Cavallo all-terrain hoof boots with TPU soles for grip on rocks, mud, sand, and pavement, plus padded leather heel protection and pressure-reducing sole relief.","Image gallery, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,6,1488,6,,,"Cavallo Hoof Boots for all Terrain provide grip, comfort, and protection on all surfaces. The durable soles absorb shock, preventing pain.",Cavallo Hoof Boots for all Terrain,Cavallo Hoof Boots for all Terrain,,,,,,33,15,,,,8,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boots-for-all-terrain/,2026-05-13 23:45:13,,
202207,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boots for Arthritis,https://cavallo-inc.com/faq/cavallo-hoof-boots-for-arthritis/,FAQ / informational,"Details how Cavallo hoof boots help aging and arthritic horses by reducing concussion, improving traction, and distributing pressure to ease joint stiffness and soreness.","Image gallery, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,6,1750,6,,,"Cavallo Hoof Boots for arthritis reduce joint strain, improve traction, and keep aging horses comfortable, active, and moving with ease.",Cavallo Hoof Boots for Arthritis,Cavallo Hoof Boots for Arthritis,,,,,,3,13,,,,10,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boots-for-arthritis/,2026-05-13 23:40:02,,
201760,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boots for Jumping,https://cavallo-inc.com/faq/cavallo-hoof-boots-for-jumping/,FAQ / informational,"Explains why Cavallo hoof boots suit jumping, with a close-fitting secure design, added grip from studs, and pressure-reducing soles for take-off and landing.","Image gallery, Video embed, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,5,1335,6,Yes,%%title%% %%page%% %%sep%% Cavallo Hoof Boots for Jumping %%sitename%%,"Cavallo Hoof Boots are perfect for jumping, offering a secure, close-fitting design and Scientifically Proven Shock Absorption.",Cavallo Hoof Boots for Jumping,Cavallo Hoof Boots for Jumping,,,,,,4,13,,,,8,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boots-for-jumping/,2026-05-13 23:42:26,,
201754,faq,publish,Yes,,Support — FAQ,Cavallo Hoof Boots for Laminitis,https://cavallo-inc.com/faq/cavallo-hoof-boots-for-laminitis/,FAQ / informational,"Explains laminitis and how Cavallo hoof boots aid recovery by distributing weight, absorbing shock, and easing pressure, with pads, Pastern Wraps, and Comfort Sleeves for 24/7 use.","Image gallery, Video embed, Table of contents/sections, Bulleted list, CTA button, Testimonials",Shop hoof boots,8,1763,8,Yes,,"Cavallo Hoof Boots provide comfort, support, and protection for horses with Laminitis. Designed for pain relief and proven shock absorption.",Cavallo Hoof Boots for Laminitis,Cavallo Hoof Boots for Laminitis Recovery,27,13.95,horse boots for laminitis,5,5,4,22,,,,10,Gutenberg,,http://cavallo.local/faq/cavallo-hoof-boots-for-laminitis/,2026-05-13 23:39:17,,
